time,Тсред,Тмин,Тмакс,Осадки всего,Направление ветра,Скорость ветра,Порывы ветра,Давление на уровне моря
2020-03-17,-0.4,-5.5,2.5,0.3,,,,
2020-03-18,-1.4,,2.0,0.0,,,,
2020-03-19,-0.3,-6.1,,0.0,,,,
2020-03-20,2.3,-0.8,4.7,0.0,,,,
2020-03-21,2.2,0.4,,1.0,,,,
2020-03-22,-3.7,,1.6,0.3,,,,
2020-03-23,-6.8,-13.0,-2.3,0.0,,,,
2020-03-24,-5.7,-12.5,-1.5,0.0,,,,
2020-03-25,-3.7,-9.3,0.5,0.0,,,,
2020-03-26,-2.0,-6.8,0.8,0.0,,,,
2020-03-27,0.1,-2.4,3.2,0.3,,,,
2020-03-28,-0.3,-3.9,3.3,0.0,,,,
2020-03-29,1.1,-4.8,5.1,0.0,,,,
2020-03-30,2.4,-1.2,5.4,0.0,,,,
2020-03-31,2.4,,7.4,0.0,,,,
2020-04-01,4.4,-3.9,10.0,0.0,,,,
2020-04-02,6.2,0.7,11.5,0.0,,,,
2020-04-03,1.4,,6.1,0.0,,,,
2020-04-04,2.5,-3.6,8.1,0.0,,,,
2020-04-05,4.6,-1.1,9.0,0.0,,,,
2020-04-06,4.4,,8.2,0.0,,,,
2020-04-07,6.5,-1.3,13.6,0.0,,,,
2020-04-08,1.1,,4.7,0.3,,,,
2020-04-09,0.9,-3.1,4.6,0.0,,,,
2020-04-10,4.2,-3.8,8.5,0.0,,,,
2020-04-11,7.8,0.1,14.7,0.0,,,,
2020-04-12,7.7,0.3,14.2,0.0,,,,
2020-04-13,9.0,2.0,15.0,0.0,,,,
2020-04-14,11.2,1.5,18.8,0.0,,,,
2020-04-15,4.6,1.0,9.8,5.1,,,,
2020-04-16,8.6,-0.3,15.6,0.0,,,,
2020-04-17,12.9,1.0,20.6,0.0,,,,
2020-04-18,15.4,5.9,21.6,0.0,,,,
2020-04-19,15.0,,22.8,0.0,,,,
2020-04-20,14.8,8.0,21.4,0.0,,,,
2020-04-21,18.7,9.0,26.8,0.0,,,,
2020-04-22,18.9,7.8,25.9,0.0,,,,
2020-04-23,13.8,,23.0,0.0,,,,
2020-04-24,8.0,,,7.1,,,,
2020-04-25,7.5,,12.9,5.1,,,,
2020-04-26,11.7,-0.6,19.5,0.0,,,,
2020-04-27,14.0,2.8,19.8,0.0,,,,
2020-04-28,12.2,8.7,16.0,10.9,,,,
2020-04-29,14.2,,21.2,10.9,,,,
2020-04-30,9.1,,12.4,7.9,,,,
2020-05-01,11.0,,17.9,1.0,,,,
2020-05-02,12.7,4.1,18.1,0.0,,,,
2020-05-03,10.8,,16.0,0.0,,,,
2020-05-04,4.9,,8.3,0.0,,,,
2020-05-05,7.6,-0.7,13.5,0.0,,,,
2020-05-06,15.7,2.9,22.8,0.3,,,,
2020-05-07,17.4,,25.8,0.0,,,,
2020-05-08,19.1,7.3,27.2,0.0,,,,
2020-05-09,18.1,,25.7,0.0,,,,
2020-05-10,20.0,8.6,26.8,0.0,,,,
2020-05-11,19.9,,29.5,0.0,,,,
2020-05-12,21.7,9.7,30.4,0.0,,,,
2020-05-13,22.4,11.6,30.9,0.0,,,,
2020-05-14,24.0,12.6,32.0,0.0,,,,
2020-05-15,19.9,14.9,27.4,0.0,,,,
2020-05-16,17.7,14.3,23.8,2.0,,,,
2020-05-17,20.3,10.8,27.3,0.0,,,,
