time,Тсред,Тмин,Тмакс,Осадки всего,Направление ветра,Скорость ветра,Порывы ветра,Давление на уровне моря
2021-02-16,-10.6,-14.1,-5.8,1.0,289.0,6.3,,1017.2
2021-02-17,-16.6,-19.5,-11.5,0.1,267.0,13.3,,1024.6
2021-02-18,-18.7,-22.1,-15.4,7.2,86.0,10.9,,1022.7
2021-02-19,-18.5,-21.0,-17.2,3.9,335.0,17.2,,1011.3
2021-02-20,-22.1,-26.6,-17.8,0.0,203.0,9.4,,1025.4
2021-02-21,-17.7,-20.3,-15.5,0.3,237.0,13.9,,1021.0
2021-02-22,-22.3,-26.8,-17.9,0.0,246.0,6.5,,1026.3
2021-02-23,-22.5,-27.6,-17.1,2.6,99.0,16.6,,1023.1
2021-02-24,-14.3,-20.9,-10.2,10.1,127.0,21.1,,1004.1
2021-02-25,-22.5,-26.5,-18.9,0.1,276.0,11.6,,1014.4
2021-02-26,-24.6,-28.1,-20.8,0.0,265.0,8.9,,1029.9
2021-02-27,-24.8,-29.4,-19.1,0.0,179.0,9.5,,1031.3
2021-02-28,-17.9,-25.1,-12.1,1.1,115.0,16.4,,1018.2
2021-03-01,-14.8,-18.7,-12.9,1.6,27.0,11.2,,1011.4
2021-03-02,-15.1,-19.6,-10.4,0.0,226.0,6.2,,1015.3
2021-03-03,-10.9,-15.6,-6.8,1.3,201.0,16.4,,1010.5
2021-03-04,-2.0,-6.4,1.2,3.8,201.0,19.1,,1002.4
2021-03-05,-2.8,-6.6,-0.4,2.1,232.0,22.8,,1003.5
2021-03-06,-3.0,-8.5,-0.1,2.3,251.0,20.4,,1005.9
2021-03-07,-7.2,-12.2,1.1,2.6,198.0,15.2,,1011.3
2021-03-08,-6.2,-10.6,1.2,2.9,260.0,21.2,,1007.1
2021-03-09,-6.1,-10.8,-2.4,0.0,216.0,20.0,,1014.2
2021-03-10,-6.5,-7.6,-4.9,4.4,169.0,7.8,,1007.0
2021-03-11,-7.3,-10.0,-5.1,0.9,213.0,20.5,,1003.1
2021-03-12,-14.4,-17.5,-10.7,0.2,276.0,16.1,,1012.7
2021-03-13,-15.5,-19.9,-10.1,0.0,260.0,14.3,,1025.2
2021-03-14,-13.3,-17.2,-7.1,0.0,253.0,9.7,,1029.9
2021-03-15,-11.1,-15.7,-5.2,0.0,256.0,12.7,,1029.7
2021-03-16,-9.7,-12.5,-6.4,0.1,239.0,14.5,,1031.0
2021-03-17,-6.9,-11.1,-1.8,0.0,240.0,14.5,,1028.5
2021-03-18,-5.2,-9.3,-0.2,0.0,231.0,11.1,,1031.6
2021-03-19,-5.1,-8.1,-1.8,0.0,159.0,18.6,,1022.9
2021-03-20,-0.7,-5.3,4.2,1.9,180.0,17.1,,1002.1
2021-03-21,0.5,-1.5,2.0,0.5,249.0,17.7,,1001.4
2021-03-22,-1.1,-3.4,1.0,1.5,217.0,8.6,,1011.3
2021-03-23,-2.4,-5.8,0.6,0.0,283.0,6.8,,1014.3
2021-03-24,-4.3,-8.7,0.4,0.0,249.0,14.9,,1015.3
2021-03-25,-2.4,-4.3,0.4,0.6,257.0,15.5,,1012.6
2021-03-26,-1.3,-5.6,4.2,0.0,235.0,14.3,,1013.6
2021-03-27,-1.7,-5.4,1.7,0.7,171.0,6.8,,1009.0
2021-03-28,-1.7,-3.3,0.7,6.7,294.0,14.0,,1005.4
2021-03-29,-4.4,-7.0,-1.7,2.4,314.0,22.0,,1013.6
2021-03-30,-6.8,-10.3,-3.2,0.1,322.0,9.4,,1028.9
2021-03-31,-4.9,-9.6,0.6,0.0,240.0,11.9,,1030.3
2021-04-01,-2.4,-7.9,3.1,0.0,216.0,17.8,,1025.6
2021-04-02,1.6,-0.4,4.5,0.3,230.0,21.2,,1020.3
2021-04-03,1.9,-1.8,6.9,0.0,220.0,15.0,,1022.4
2021-04-04,2.0,-1.2,6.5,0.0,152.0,16.3,,1014.8
2021-04-05,3.0,0.2,6.3,0.1,182.0,11.2,,1005.3
2021-04-06,2.1,-0.4,5.5,0.1,242.0,18.8,,1015.9
2021-04-07,1.4,-2.7,6.7,0.1,218.0,8.7,,1024.2
2021-04-08,3.7,-0.6,9.0,1.1,128.0,13.2,,1022.8
2021-04-09,2.9,0.5,6.1,1.5,341.0,7.6,,1023.5
2021-04-10,2.7,-0.5,7.4,0.2,71.0,9.9,,1035.2
2021-04-11,1.8,-4.9,8.1,0.0,153.0,7.5,,1040.4
2021-04-12,4.1,-1.2,10.6,0.6,251.0,10.6,,1033.8
2021-04-13,3.9,-2.3,9.7,0.0,314.0,7.9,,1037.4
2021-04-14,5.8,1.1,11.7,0.0,246.0,13.8,,1031.9
2021-04-15,6.9,1.9,13.8,0.0,252.0,9.7,,1024.3
2021-04-16,7.6,0.2,12.4,0.0,318.0,18.1,,1018.5
2021-04-17,2.1,-4.6,8.5,0.0,294.0,9.9,,1024.4
2021-04-18,2.5,-5.1,9.2,0.0,272.0,24.0,,1013.4
