time,Тсред,Тмин,Тмакс,Осадки всего,Направление ветра,Скорость ветра,Порывы ветра,Давление на уровне моря
2018-03-18,-4.1,-11.0,0.8,0.0,,,,
2018-03-19,-7.9,,1.8,3.0,,,,
2018-03-20,-8.9,-16.5,,0.0,,,,
2018-03-21,-4.3,,-1.0,3.6,,,,
2018-03-22,-2.4,-9.5,,0.0,,,,
2018-03-23,,,,,,,,
2018-03-24,-6.3,,,,,,,
2018-03-25,-4.9,-8.7,-2.5,0.0,,,,
2018-03-26,-5.6,,-2.4,0.0,,,,
2018-03-27,-5.7,,-1.7,0.0,,,,
2018-03-28,-5.6,-11.2,-2.6,0.0,,,,
2018-03-29,,,,,,,,
2018-03-30,-7.8,,-4.0,0.0,,,,
2018-03-31,-8.5,-17.0,-3.1,0.0,,,,
2018-04-01,-6.0,-11.0,-0.7,,,,,
2018-04-02,-4.9,-9.1,-2.1,0.3,,,,
2018-04-03,-3.9,,0.7,0.0,,,,
2018-04-04,-2.9,-9.6,1.2,0.0,,,,
2018-04-05,-0.3,-5.5,3.1,0.0,,,,
2018-04-06,1.3,-2.1,4.2,0.0,,,,
2018-04-07,1.1,-0.9,2.9,0.0,,,,
2018-04-08,1.1,-0.4,2.6,0.8,,,,
2018-04-09,2.3,,4.6,0.0,,,,
2018-04-10,0.9,-0.1,2.8,,,,,
2018-04-11,3.7,-1.4,9.4,,,,,
2018-04-12,7.2,2.7,,,,,,
2018-04-13,2.9,,11.9,1.0,,,,
2018-04-14,0.6,-3.1,5.7,0.0,,,,
2018-04-15,3.4,-3.6,9.2,0.0,,,,
2018-04-16,3.4,,10.3,1.0,,,,
2018-04-17,0.1,-2.9,3.5,0.0,,,,
2018-04-18,-1.2,,2.4,0.0,,,,
2018-04-19,0.4,-5.4,4.6,0.0,,,,
2018-04-20,,,,,,,,
2018-04-21,,,,,,,,
2018-04-22,,,,,,,,
2018-04-23,,,,,,,,
2018-04-24,,,,,,,,
2018-04-25,,,,,,,,
2018-04-26,4.1,0.0,8.4,0.0,,,,
2018-04-27,,,,,,,,
2018-04-28,,,,,,,,
2018-04-29,,,,,,,,
2018-04-30,9.5,7.6,16.1,4.8,,,,
2018-05-01,,,,,,,,
2018-05-02,,,,,,,,
2018-05-03,,,,,,,,
2018-05-04,9.0,4.6,,9.7,,,,
2018-05-05,2.5,,8.4,2.0,,,,
2018-05-06,,,,,,,,
2018-05-07,5.7,,9.5,,,,,
2018-05-08,,,,,,,,
2018-05-09,,,,,,,,
2018-05-10,,,,,,,,
2018-05-11,,,,,,,,
2018-05-12,,,,,,,,
2018-05-13,,,,,,,,
2018-05-14,5.7,1.3,,,,,,
2018-05-15,,,,,,,,
2018-05-16,4.9,,9.0,0.0,,,,
