time,Тсред,Тмин,Тмакс,Осадки всего,Направление ветра,Скорость ветра,Порывы ветра,Давление на уровне моря
2021-03-25,-2.8,-4.8,-1.0,0.6,243.0,16.7,,1012.2
2021-03-26,-3.1,-7.4,1.4,0.0,238.0,16.7,,1013.7
2021-03-27,-3.9,-7.4,-0.7,0.0,179.0,11.2,,1010.3
2021-03-28,-2.6,-5.8,0.6,1.4,240.0,5.6,,1003.7
2021-03-29,-4.0,-5.8,-1.0,6.7,292.0,27.8,,1007.2
2021-03-30,-7.2,-10.1,-4.4,1.6,315.0,15.3,,1026.3
2021-03-31,-7.0,-11.6,-1.7,0.0,243.0,13.6,,1030.2
2021-04-01,-5.4,-9.1,-1.6,0.0,208.0,19.7,,1027.6
2021-04-02,-1.0,-4.0,1.4,1.1,220.0,21.8,,1021.8
2021-04-03,0.5,-2.4,3.6,0.0,225.0,16.3,,1023.5
2021-04-04,-0.3,-4.0,3.8,0.0,154.0,17.4,,1019.0
2021-04-05,2.4,0.3,4.5,0.0,159.0,20.7,,1007.8
2021-04-06,1.8,-0.8,4.2,0.0,234.0,20.3,,1015.8
2021-04-07,0.3,-2.5,4.3,0.0,245.0,13.2,,1024.3
2021-04-08,0.9,-4.5,5.4,0.7,137.0,12.1,,1026.2
2021-04-09,2.2,0.2,3.6,4.8,114.0,22.5,,1026.0
2021-04-10,2.0,-4.7,7.5,0.2,80.0,10.8,,1036.0
2021-04-11,-0.3,-8.1,7.1,0.0,104.0,7.2,,1040.9
2021-04-12,4.6,-2.5,13.9,0.2,251.0,12.3,,1033.1
2021-04-13,4.8,-0.2,11.0,0.0,321.0,13.1,,1035.8
2021-04-14,7.9,0.8,16.1,0.0,259.0,18.5,,1030.4
2021-04-15,9.7,1.5,19.2,0.0,261.0,12.8,,1022.9
2021-04-16,8.7,-0.1,16.0,0.0,293.0,18.0,,1017.0
2021-04-17,1.7,-3.5,7.4,0.0,327.0,9.3,,1023.9
2021-04-18,4.2,-4.7,11.4,0.3,256.0,20.9,,1011.8
2021-04-19,-5.0,-9.1,-1.0,0.0,343.0,18.6,,1026.0
2021-04-20,-3.3,-8.5,2.1,0.0,312.0,10.8,,1029.4
2021-04-21,1.6,-1.4,4.9,0.0,338.0,20.8,,1025.1
2021-04-22,0.5,-5.0,6.8,0.0,51.0,10.2,,1041.3
2021-04-23,2.4,-4.8,8.7,0.0,153.0,8.3,,1043.9
2021-04-24,4.0,-4.1,11.2,0.0,167.0,9.2,,1036.0
2021-04-25,6.7,-0.4,13.3,0.0,142.0,15.9,,1026.3
2021-04-26,9.9,5.2,14.9,0.3,206.0,16.4,,1017.6
2021-04-27,8.3,2.3,13.7,5.2,213.0,11.5,,1015.6
2021-04-28,10.6,7.6,15.0,1.5,332.0,11.6,,1008.2
2021-04-29,11.1,6.4,17.5,0.0,233.0,14.5,,1009.3
2021-04-30,8.9,2.8,13.9,0.1,270.0,16.1,,1013.5
2021-05-01,6.9,3.8,10.0,0.3,295.0,23.4,,1020.7
2021-05-02,10.5,-0.1,18.7,0.0,209.0,19.5,,1025.4
2021-05-03,11.0,6.4,15.1,4.9,239.0,18.8,,1018.0
2021-05-04,9.4,0.6,16.0,0.0,250.0,10.8,,1023.1
2021-05-05,13.3,7.4,19.7,0.0,176.0,17.3,,1014.3
2021-05-06,16.0,8.9,25.5,0.0,213.0,17.4,,1003.4
2021-05-07,12.1,6.1,17.6,0.0,290.0,16.5,,1015.2
2021-05-08,15.0,4.7,23.0,0.0,282.0,8.9,,1019.1
2021-05-09,15.1,8.0,21.7,0.0,70.0,18.7,,1016.7
2021-05-10,12.7,8.0,17.9,0.0,66.0,22.4,,1020.8
2021-05-11,12.9,6.0,18.8,0.0,16.0,15.4,,1022.7
2021-05-12,15.1,5.5,24.1,0.0,309.0,16.1,,1020.0
2021-05-13,12.3,6.9,16.4,0.0,338.0,15.3,,1020.1
2021-05-14,14.0,6.4,21.6,0.0,338.0,9.7,,1024.1
2021-05-15,20.6,11.4,30.0,0.0,251.0,14.5,,1020.0
2021-05-16,22.3,15.0,30.2,0.2,282.0,16.5,,1014.0
2021-05-17,22.4,11.6,31.7,0.0,287.0,12.1,,1014.4
2021-05-18,21.6,15.2,28.0,0.5,303.0,15.0,,1008.6
2021-05-19,14.5,8.9,17.6,0.0,14.0,20.0,,1014.0
2021-05-20,11.1,7.0,14.8,0.1,356.0,13.4,,1020.8
2021-05-21,14.5,7.6,23.6,6.4,181.0,11.1,,1017.5
2021-05-22,20.9,10.7,29.3,0.0,248.0,11.8,,1018.9
2021-05-23,24.3,15.8,31.6,0.0,259.0,12.5,,1017.2
2021-05-24,21.9,16.8,28.6,0.8,329.0,10.9,,1017.8
2021-05-25,26.5,16.8,34.8,0.0,233.0,15.0,,1012.8
