time,Тсред,Тмин,Тмакс,Осадки всего,Направление ветра,Скорость ветра,Порывы ветра,Давление на уровне моря
2021-04-07,0.5,-3.0,5.1,0.0,236.0,8.4,,1024.5
2021-04-08,2.8,0.0,6.0,0.1,119.0,13.7,,1024.9
2021-04-09,2.6,1.0,3.7,5.3,109.0,19.1,,1024.4
2021-04-10,4.5,1.0,9.0,4.7,82.0,16.4,,1035.7
2021-04-11,4.4,-2.3,11.0,0.0,119.0,6.6,,1040.8
2021-04-12,5.5,0.0,11.0,0.0,237.0,11.9,,1033.1
2021-04-13,7.1,0.0,13.0,0.0,296.0,9.9,,1036.1
2021-04-14,8.3,1.0,15.0,0.0,254.0,15.5,,1030.2
2021-04-15,11.7,0.0,22.0,0.0,243.0,11.7,,1022.5
2021-04-16,10.4,4.0,18.0,0.0,302.0,15.6,,1016.9
2021-04-17,3.8,-1.7,9.0,0.0,315.0,12.0,,1023.6
2021-04-18,3.8,-5.0,12.0,0.3,271.0,20.0,,1012.6
2021-04-19,-5.3,-9.0,-2.0,0.0,353.0,19.7,,1026.3
2021-04-20,-3.5,-10.7,3.0,0.0,313.0,11.4,,1028.9
2021-04-21,2.4,-1.0,6.0,0.0,346.0,20.1,,1025.3
2021-04-22,1.6,-5.4,8.0,0.0,79.0,9.9,,1041.4
2021-04-23,4.3,-4.0,11.0,0.0,167.0,11.6,,1042.7
2021-04-24,6.5,-2.0,13.0,0.0,161.0,10.2,,1034.8
2021-04-25,10.6,4.0,16.3,0.0,151.0,18.6,,1024.1
2021-04-26,12.1,5.0,17.0,0.0,214.0,21.8,,1016.0
2021-04-27,9.2,5.0,13.0,7.2,202.0,13.7,,1014.3
2021-04-28,12.2,8.0,17.0,1.1,313.0,13.1,,1007.6
2021-04-29,12.4,4.0,18.0,0.0,251.0,18.3,,1008.4
2021-04-30,9.4,2.0,15.0,0.2,278.0,16.4,,1013.0
2021-05-01,7.4,2.0,12.0,0.2,297.0,22.1,,1021.0
2021-05-02,13.1,2.0,22.0,0.0,214.0,21.0,,1023.5
2021-05-03,11.5,5.0,15.0,8.3,258.0,17.3,,1017.6
2021-05-04,10.5,-1.0,18.0,0.0,236.0,13.1,,1022.1
2021-05-05,16.4,8.0,23.0,0.0,167.0,17.1,,1012.3
2021-05-06,17.8,10.0,28.0,0.0,219.0,19.5,,1002.3
2021-05-07,12.8,4.0,19.0,0.0,294.0,18.8,,1015.7
2021-05-08,16.6,5.0,25.0,0.0,244.0,7.5,,1018.5
2021-05-09,17.2,11.0,24.0,0.0,62.0,22.7,,1015.5
2021-05-10,13.8,9.0,19.0,0.0,67.0,27.0,,1020.2
2021-05-11,14.7,8.0,20.0,0.0,12.0,14.7,,1022.5
2021-05-12,16.1,6.0,24.0,0.0,309.0,16.4,,1019.8
2021-05-13,11.2,8.0,14.0,0.1,331.0,11.0,,1020.6
2021-05-14,14.9,4.0,23.0,0.0,317.0,8.3,,1024.0
2021-05-15,20.7,8.0,31.0,0.0,265.0,11.7,,1019.4
2021-05-16,22.3,13.0,29.0,0.0,286.0,15.5,,1014.0
2021-05-17,23.3,11.0,33.0,0.0,276.0,13.8,,1013.7
2021-05-18,21.7,16.0,28.0,0.4,316.0,15.0,,1009.0
2021-05-19,14.9,12.0,18.0,0.0,13.0,20.1,,1014.8
2021-05-20,12.7,9.0,16.0,0.0,0.0,13.7,,1020.7
2021-05-21,18.1,10.0,28.0,1.5,243.0,12.5,,1016.7
2021-05-22,22.4,11.0,31.0,0.0,258.0,9.8,,1018.7
2021-05-23,24.8,15.0,33.0,0.0,269.0,11.4,,1017.0
2021-05-24,23.9,18.0,29.0,0.1,1.0,11.3,,1017.8
2021-05-25,27.2,16.0,36.0,0.0,258.0,12.5,,1012.6
2021-05-26,26.6,15.0,36.0,0.0,224.0,13.2,,1005.8
2021-05-27,14.9,12.7,22.0,0.0,319.0,24.2,,1010.6
2021-05-28,14.1,10.0,19.0,0.0,325.0,12.8,,1020.8
2021-05-29,19.0,10.0,27.0,0.0,190.0,14.4,,1019.1
2021-05-30,23.2,15.0,30.0,0.0,168.0,17.4,,1014.1
2021-05-31,25.0,19.0,33.0,0.0,150.0,18.2,,1004.6
2021-06-01,15.7,12.0,21.0,1.4,359.0,18.5,,1008.1
2021-06-02,16.5,10.0,22.0,0.0,10.0,13.2,,1012.4
2021-06-03,17.0,10.0,23.0,0.5,6.0,9.8,,1011.6
2021-06-04,9.6,6.0,13.0,9.6,328.0,21.9,,1011.8
2021-06-05,13.5,5.0,21.0,0.0,313.0,16.7,,1021.0
2021-06-06,18.5,9.0,26.0,0.0,243.0,12.3,,1018.1
2021-06-07,20.4,11.0,28.0,0.0,229.0,7.7,,1010.8
