time,Тсред,Тмин,Тмакс,Осадки всего,Направление ветра,Скорость ветра,Порывы ветра,Давление на уровне моря
2019-03-04,-6.8,-8.1,0.2,0.0,215.0,13.4,,1005.1
2019-03-05,-9.2,-11.7,-4.9,0.0,215.0,10.7,,1013.1
2019-03-06,-4.2,-10.2,-1.5,0.4,203.0,6.3,,1020.0
2019-03-07,0.1,-1.7,3.5,0.0,208.0,13.3,,1016.4
2019-03-08,-7.2,-7.7,0.9,0.0,257.0,10.5,,1024.3
2019-03-09,-9.7,-15.1,-3.0,0.0,223.0,8.1,,1031.3
2019-03-10,-8.3,-13.4,-4.9,0.0,201.0,9.5,,1025.8
2019-03-11,-1.2,-6.6,1.2,0.7,211.0,7.7,,1020.3
2019-03-12,-1.2,-1.2,3.1,0.0,199.0,8.6,,1021.1
2019-03-13,-1.1,-5.2,3.4,0.0,206.0,10.8,,1017.6
2019-03-14,-0.2,-1.5,4.4,0.0,184.0,9.4,,1018.2
2019-03-15,-1.6,-2.5,2.6,0.0,206.0,13.1,,1007.3
2019-03-16,-6.9,-7.5,-2.3,0.0,243.0,15.1,,1013.0
2019-03-17,-7.9,-9.5,-4.3,0.2,310.0,7.7,,1024.9
2019-03-18,-8.4,-16.5,-1.8,0.0,,2.8,,1036.2
2019-03-19,-7.9,-14.0,-1.1,0.0,208.0,3.1,,1035.2
2019-03-20,-6.6,-10.4,-0.4,0.0,173.0,5.9,,1034.1
2019-03-21,-5.2,-8.0,0.9,0.0,165.0,11.8,,1026.8
2019-03-22,-3.3,-8.9,3.2,0.0,196.0,4.8,,1019.8
2019-03-23,-3.8,-7.5,3.0,0.0,214.0,3.4,,1019.1
2019-03-24,-2.3,-7.4,5.3,0.0,280.0,4.5,,1021.5
2019-03-25,-1.6,-9.0,4.6,0.0,154.0,5.2,,1027.1
2019-03-26,-0.4,-5.0,3.2,0.5,143.0,16.6,,1021.8
2019-03-27,-0.8,-2.8,4.9,3.1,254.0,7.3,,1023.7
2019-03-28,0.2,-5.5,4.6,0.0,140.0,9.2,,1028.8
2019-03-29,0.8,0.1,2.0,5.5,114.0,16.7,,1014.6
2019-03-30,0.9,0.6,2.3,0.6,233.0,8.1,,1013.9
2019-03-31,-0.2,-0.2,3.5,6.5,218.0,9.4,,1013.9
2019-04-01,1.6,-2.7,6.0,0.0,211.0,9.0,,1018.7
2019-04-02,3.4,0.3,8.3,0.0,253.0,9.0,,1020.9
2019-04-03,2.2,-1.5,6.2,0.0,76.0,13.0,,1025.3
2019-04-04,0.1,0.0,3.6,10.9,68.0,18.4,,1019.5
2019-04-05,0.2,-0.2,1.7,4.2,33.0,14.6,,1020.8
2019-04-06,3.7,-1.6,9.6,0.0,298.0,7.9,,1027.1
2019-04-07,1.4,-2.1,7.1,0.0,321.0,5.5,,1032.6
2019-04-08,4.4,-2.6,10.1,0.0,190.0,5.5,,1031.2
2019-04-09,7.4,0.8,14.1,0.0,215.0,5.6,,1020.9
2019-04-10,6.4,0.6,12.1,0.0,23.0,8.4,,1024.2
2019-04-11,6.7,-0.1,14.1,0.0,209.0,4.6,,1026.7
2019-04-12,9.3,1.8,17.5,0.0,219.0,7.5,,1021.7
2019-04-13,10.2,5.2,19.2,0.0,258.0,8.2,,1014.3
2019-04-14,0.7,-0.2,7.6,0.7,24.0,12.5,,1019.1
2019-04-15,-1.7,-2.9,3.5,0.0,40.0,13.5,,1017.7
2019-04-16,2.7,-5.6,7.7,0.0,227.0,8.9,,1009.7
2019-04-17,-4.4,-6.8,4.9,6.6,308.0,11.4,,1005.3
2019-04-18,-5.7,-11.1,-0.1,1.0,293.0,14.8,,1021.9
2019-04-19,-0.2,-5.8,6.1,0.0,218.0,5.1,,1025.0
2019-04-20,3.7,-3.4,8.8,0.0,271.0,5.7,,1016.6
2019-04-21,3.0,1.2,8.1,0.0,318.0,6.2,,1019.5
2019-04-22,5.9,-3.3,12.3,0.0,200.0,3.9,,1022.3
2019-04-23,7.4,4.0,12.2,0.0,198.0,6.0,,1017.3
2019-04-24,7.9,3.0,15.5,0.0,226.0,6.5,,1010.0
2019-04-25,3.6,3.1,7.5,7.6,286.0,7.6,,1004.3
2019-04-26,-0.2,-2.6,4.3,0.5,296.0,10.0,,1013.0
2019-04-27,0.4,-4.2,6.3,1.2,199.0,8.0,,1011.8
2019-04-28,8.2,-3.3,17.2,0.0,191.0,10.6,,1011.4
2019-04-29,11.4,9.0,22.0,0.0,222.0,13.6,,1000.6
2019-04-30,-3.5,-3.1,10.2,7.8,321.0,12.4,,1006.8
2019-05-01,-0.1,-5.0,6.2,0.3,252.0,9.3,,1019.1
2019-05-02,4.9,-1.0,10.8,0.0,221.0,6.4,,1023.7
2019-05-03,10.1,0.7,16.7,0.0,203.0,7.5,,1027.4
2019-05-04,13.8,8.0,20.7,0.0,208.0,8.9,,1027.0
